,ilkid,firstname,lastname,leag_rg,gp_rg,minutes_rg,pts_rg,oreb_rg,dreb_rg,reb_rg,asts_rg,stl_rg,blk_rg,turnover_rg,pf_rg,fga_rg,fgm_rg,fta_rg,ftm_rg,tpa_rg,tpm_rg,leag_po,gp_po,minutes_po,pts_po,dreb_po,oreb_po,reb_po,asts_po,stl_po,blk_po,turnover_po,pf_po,fga_po,fgm_po,fta_po,ftm_po,tpa_po,tpm_po,position,firstseason,lastseason,weight,college,age,retirement_age,start_age,career_span,height,leag,firstyear,lastyear,gp,minutes,pts,dreb,oreb,reb,asts,stl,blk,turnover,pf,fga,fgm,fta,tpa,tpm
3817,WHITEJA01,Jahidi,White,N,334.0,5916.0,1954.0,590.0,1354.0,1944.0,63.0,119.0,355.0,397.0,887.0,1443.0,736.0,903.0,482.0,1.0,0.0,,,,,,,,,,,,,,,,,,,C,1998.0,2004.0,290.0,Georgetown,45.0,28.0,22.0,6.0,81.0,,,,,,,,,,,,,,,,,,,
3818,WHITEJE01,Jerome,Whitehead,N,679.0,11828.0,4423.0,1141.0,2127.0,3268.0,374.0,251.0,200.0,696.0,1833.0,3642.0,1810.0,1118.0,803.0,2.0,0.0,N,10.0,100.0,22.0,9.0,5.0,14.0,3.0,2.0,2.0,1.0,22.0,27.0,9.0,10.0,4.0,0.0,0.0,C,1978.0,1988.0,220.0,Marquette,65.0,32.0,22.0,10.0,82.0,,,,,,,,,,,,,,,,,,,
3819,WHITEJO01,Jojo,White,N,837.0,29941.0,14399.0,472.0,1468.0,3345.0,4095.0,686.0,112.0,504.0,2056.0,13884.0,6169.0,2471.0,2060.0,6.0,1.0,N,80.0,3428.0,1720.0,0.0,0.0,348.0,452.0,0.0,0.0,0.0,241.0,1629.0,732.0,309.0,256.0,0.0,0.0,G,1969.0,1980.0,190.0,Kansas,74.0,33.0,22.0,11.0,75.0,N,1970.0,1975.0,6.0,109.0,54.0,0.0,0.0,26.0,19.0,0.0,0.0,0.0,0.0,53.0,24.0,11.0,0.0,0.0
3820,WHITEJO01,Jojo,White,N,837.0,29941.0,14399.0,472.0,1468.0,3345.0,4095.0,686.0,112.0,504.0,2056.0,13884.0,6169.0,2471.0,2060.0,6.0,1.0,N,80.0,3428.0,1720.0,0.0,0.0,348.0,452.0,0.0,0.0,0.0,241.0,1629.0,732.0,309.0,256.0,0.0,0.0,G,1969.0,1980.0,190.0,Kansas,74.0,33.0,22.0,11.0,75.0,N,1976.0,1976.0,1.0,15.0,10.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,7.0,5.0,0.0,0.0,0.0
3821,WHITERA01,Randy,White,N,281.0,5382.0,2083.0,531.0,835.0,1366.0,175.0,209.0,127.0,372.0,861.0,1951.0,783.0,693.0,490.0,140.0,27.0,N,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F,1989.0,1993.0,240.0,Louisiana Tech,54.0,26.0,22.0,4.0,80.0,,,,,,,,,,,,,,,,,,,
3822,WHITERO01,Rory,White,N,324.0,5410.0,2387.0,350.0,399.0,749.0,232.0,187.0,52.0,330.0,520.0,1919.0,971.0,652.0,444.0,13.0,1.0,N,3.0,40.0,16.0,9.0,1.0,10.0,0.0,0.0,0.0,1.0,4.0,14.0,7.0,4.0,2.0,1.0,0.0,F,1982.0,1986.0,210.0,South Alabama,62.0,27.0,23.0,4.0,80.0,,,,,,,,,,,,,,,,,,,
3823,WHITERO02,Rodney,White,N,218.0,3355.0,1540.0,111.0,374.0,485.0,237.0,118.0,65.0,285.0,309.0,1455.0,617.0,287.0,215.0,290.0,91.0,N,5.0,28.0,8.0,4.0,1.0,5.0,0.0,2.0,0.0,3.0,3.0,16.0,4.0,0.0,0.0,3.0,0.0,F,2001.0,2004.0,238.0,Charlotte,41.0,24.0,21.0,3.0,81.0,,,,,,,,,,,,,,,,,,,
3824,WHITERU01,Rudy,White,N,124.0,1185.0,384.0,35.0,85.0,120.0,112.0,52.0,7.0,42.0,126.0,382.0,156.0,97.0,72.0,1.0,0.0,N,1.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,G,1975.0,1980.0,195.0,Arizona State,68.0,27.0,22.0,5.0,74.0,,,,,,,,,,,,,,,,,,,
3825,WHITETO01,Tony,White,N,49.0,581.0,261.0,12.0,19.0,31.0,59.0,20.0,2.0,47.0,57.0,249.0,111.0,54.0,39.0,6.0,0.0,,,,,,,,,,,,,,,,,,,G,1987.0,1987.0,170.0,Tennessee,56.0,22.0,22.0,0.0,74.0,,,,,,,,,,,,,,,,,,,
3826,WHITEWI01,Willie,White,N,82.0,577.0,302.0,32.0,48.0,80.0,82.0,23.0,4.0,55.0,48.0,292.0,126.0,54.0,40.0,32.0,10.0,N,14.0,144.0,68.0,10.0,10.0,20.0,23.0,6.0,0.0,18.0,10.0,64.0,29.0,12.0,7.0,7.0,3.0,G,1984.0,1985.0,195.0,Tennessee-Chattanooga,59.0,23.0,22.0,1.0,75.0,,,,,,,,,,,,,,,,,,,
3827,WHITFDW01,Dwayne,Whitfield,N,8.0,122.0,40.0,9.0,16.0,25.0,2.0,3.0,2.0,8.0,14.0,30.0,13.0,22.0,14.0,0.0,0.0,,,,,,,,,,,,,,,,,,,F,1995.0,1995.0,240.0,Jackson State,49.0,23.0,23.0,0.0,81.0,,,,,,,,,,,,,,,,,,,
3828,WHITNCH01,Chris,Whitney,N,579.0,10054.0,3738.0,88.0,728.0,816.0,1613.0,351.0,32.0,619.0,984.0,3111.0,1227.0,837.0,732.0,1528.0,552.0,N,10.0,131.0,29.0,10.0,3.0,13.0,9.0,2.0,2.0,7.0,22.0,26.0,10.0,3.0,3.0,13.0,6.0,G,1993.0,2003.0,168.0,Clemson,50.0,32.0,22.0,10.0,72.0,,,,,,,,,,,,,,,,,,,
3829,WHITNCH02,Charles,Whitney,N,70.0,1048.0,404.0,42.0,104.0,146.0,87.0,59.0,7.0,62.0,129.0,377.0,174.0,72.0,54.0,7.0,2.0,,,,,,,,,,,,,,,,,,,F,1980.0,1981.0,235.0,North Carolina State,64.0,24.0,23.0,1.0,77.0,,,,,,,,,,,,,,,,,,,
3830,WHITNHA01,Hank,Whitney,A,145.0,3032.0,1339.0,0.0,0.0,1102.0,168.0,0.0,0.0,126.0,502.0,1284.0,518.0,438.0,303.0,1.0,0.0,,,,,,,,,,,,,,,,,,,F,1967.0,1969.0,230.0,Iowa State,82.0,30.0,28.0,2.0,79.0,,,,,,,,,,,,,,,,,,,
3831,WICKSSI01,Sidney,Wicks,N,760.0,25762.0,12803.0,1539.0,3268.0,6620.0,2437.0,592.0,431.0,667.0,2524.0,11002.0,5046.0,3955.0,2711.0,2.0,0.0,N,9.0,261.0,118.0,0.0,0.0,83.0,16.0,0.0,0.0,0.0,37.0,81.0,42.0,47.0,34.0,0.0,0.0,F,1971.0,1980.0,225.0,UCLA,72.0,31.0,22.0,9.0,80.0,N,1971.0,1974.0,4.0,81.0,49.0,0.0,0.0,17.0,3.0,0.0,0.0,0.0,0.0,40.0,18.0,18.0,0.0,0.0
3832,WIDBYRO01,Ron,Widby,A,20.0,137.0,58.0,0.0,0.0,45.0,4.0,0.0,0.0,7.0,18.0,70.0,27.0,7.0,4.0,3.0,0.0,,,,,,,,,,,,,,,,,,,F,1967.0,1967.0,210.0,Tennessee,76.0,22.0,22.0,0.0,76.0,,,,,,,,,,,,,,,,,,,
3833,WIERMU01,Murray,Wier,N,56.0,0.0,429.0,0.0,0.0,0.0,107.0,0.0,0.0,0.0,141.0,480.0,157.0,166.0,115.0,0.0,0.0,N,3.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,9.0,3.0,8.0,4.0,0.0,0.0,G,1949.0,1949.0,155.0,Iowa,94.0,22.0,22.0,0.0,69.0,,,,,,,,,,,,,,,,,,,
3834,WIESEBO01,Bob,Wiesenhahn,N,60.0,326.0,119.0,0.0,0.0,112.0,23.0,0.0,0.0,0.0,50.0,161.0,51.0,30.0,17.0,0.0,0.0,N,2.0,6.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,1.0,1.0,0.0,0.0,F,1961.0,1961.0,215.0,Cincinnati,82.0,22.0,22.0,0.0,76.0,,,,,,,,,,,,,,,,,,,
3835,WIGGIMI01,Mitchell,Wiggins,N,389.0,8105.0,3877.0,585.0,650.0,1235.0,609.0,397.0,34.0,453.0,942.0,3468.0,1596.0,889.0,671.0,73.0,14.0,N,29.0,539.0,233.0,48.0,45.0,93.0,34.0,19.0,3.0,34.0,55.0,212.0,105.0,31.0,23.0,3.0,0.0,G,1983.0,1991.0,185.0,Florida State,62.0,32.0,24.0,8.0,76.0,,,,,,,,,,,,,,,,,,,
3836,WILBUKE01,Ken,Wilburn,A,51.0,479.0,197.0,0.0,0.0,202.0,27.0,0.0,1.0,47.0,68.0,206.0,79.0,75.0,39.0,0.0,0.0,A,7.0,93.0,36.0,0.0,0.0,32.0,5.0,0.0,0.0,0.0,21.0,33.0,16.0,16.0,4.0,0.0,0.0,F,1967.0,1968.0,195.0,Central State (OH),77.0,24.0,23.0,1.0,78.0,,,,,,,,,,,,,,,,,,,
3837,WILBUKE01,Ken,Wilburn,N,3.0,26.0,11.0,0.0,0.0,10.0,2.0,0.0,0.0,0.0,4.0,9.0,5.0,4.0,1.0,0.0,0.0,A,7.0,93.0,36.0,0.0,0.0,32.0,5.0,0.0,0.0,0.0,21.0,33.0,16.0,16.0,4.0,0.0,0.0,F,1967.0,1968.0,195.0,Central State (OH),77.0,24.0,23.0,1.0,78.0,,,,,,,,,,,,,,,,,,,
3838,WILCOCH01,Chris,Wilcox,N,165.0,2825.0,1156.0,220.0,417.0,637.0,110.0,62.0,56.0,183.0,377.0,905.0,469.0,344.0,218.0,1.0,0.0,,,,,,,,,,,,,,,,,,,F,2002.0,2004.0,221.0,Maryland,39.0,22.0,20.0,2.0,82.0,,,,,,,,,,,,,,,,,,,
3839,WILCUDC01,D.c.,Wilcutt,N,59.0,0.0,128.0,0.0,0.0,0.0,80.0,0.0,0.0,0.0,36.0,124.0,42.0,60.0,44.0,0.0,0.0,,,,,,,,,,,,,,,,,,,G,1948.0,1949.0,165.0,Saint Louis,98.0,26.0,25.0,1.0,74.0,,,,,,,,,,,,,,,,,,,
3840,WILEYGE01,Gene,Wiley,A,9.0,85.0,18.0,0.0,0.0,20.0,2.0,0.0,0.0,2.0,10.0,20.0,7.0,8.0,4.0,0.0,0.0,N,27.0,710.0,120.0,0.0,0.0,272.0,34.0,0.0,0.0,0.0,80.0,103.0,52.0,37.0,16.0,0.0,0.0,C,1962.0,1967.0,210.0,Wichita,84.0,30.0,25.0,5.0,82.0,,,,,,,,,,,,,,,,,,,
