,ilkid,firstname,lastname,leag_rg,gp_rg,minutes_rg,pts_rg,oreb_rg,dreb_rg,reb_rg,asts_rg,stl_rg,blk_rg,turnover_rg,pf_rg,fga_rg,fgm_rg,fta_rg,ftm_rg,tpa_rg,tpm_rg,leag_po,gp_po,minutes_po,pts_po,dreb_po,oreb_po,reb_po,asts_po,stl_po,blk_po,turnover_po,pf_po,fga_po,fgm_po,fta_po,ftm_po,tpa_po,tpm_po,position,firstseason,lastseason,weight,college,age,retirement_age,start_age,career_span,height,leag,firstyear,lastyear,gp,minutes,pts,dreb,oreb,reb,asts,stl,blk,turnover,pf,fga,fgm,fta,tpa,tpm
0,ABDELAL01,Alaa,Abdelnaby,N,256.0,3200.0,1465.0,283.0,563.0,846.0,85.0,71.0,69.0,247.0,484.0,1236.0,620.0,321.0,225.0,3.0,0.0,N,17.0,106.0,38.0,17.0,3.0,20.0,3.0,0.0,1.0,11.0,11.0,40.0,18.0,4.0,2.0,0.0,0.0,F,1990.0,1994.0,240.0,Duke,53.0,26.0,22.0,4.0,82.0,,,,,,,,,,,,,,,,,,,
1,ABDULKA01,Kareem,Abdul-jabbar,N,1560.0,57446.0,38387.0,2975.0,9394.0,17440.0,5660.0,1160.0,3189.0,2527.0,4657.0,28307.0,15837.0,9304.0,6712.0,18.0,1.0,N,237.0,8851.0,5762.0,833.0,355.0,2481.0,767.0,150.0,399.0,404.0,787.0,4422.0,2356.0,1419.0,1050.0,4.0,0.0,C,1969.0,1988.0,225.0,UCLA,74.0,41.0,22.0,19.0,86.0,N,1969.0,1988.0,19.0,548.0,264.0,0.0,0.0,142.0,54.0,0.0,0.0,0.0,0.0,212.0,110.0,53.0,0.0,0.0
2,ABDULMA01,Mahmo,Abdul-rauf,N,586.0,15633.0,8553.0,219.0,868.0,1087.0,2079.0,487.0,46.0,963.0,1107.0,7943.0,3514.0,1161.0,1051.0,1339.0,474.0,N,15.0,415.0,195.0,18.0,5.0,23.0,35.0,7.0,1.0,22.0,37.0,187.0,69.0,45.0,43.0,49.0,14.0,G,1990.0,2000.0,162.0,LSU,52.0,31.0,21.0,10.0,73.0,,,,,,,,,,,,,,,,,,,
3,ABDULTA01,Tariq,Abdul-wahad,N,236.0,4808.0,1830.0,275.0,501.0,776.0,266.0,184.0,82.0,309.0,485.0,1726.0,720.0,529.0,372.0,76.0,18.0,N,13.0,178.0,68.0,24.0,17.0,41.0,11.0,4.0,4.0,4.0,14.0,63.0,24.0,24.0,20.0,3.0,0.0,G,1997.0,2002.0,223.0,Michigan,47.0,28.0,23.0,5.0,78.0,,,,,,,,,,,,,,,,,,,
4,ABDURSH01,Shareef,Abdur-rahim,N,672.0,24862.0,13338.0,1498.0,3976.0,5474.0,1847.0,718.0,556.0,1911.0,1845.0,10215.0,4789.0,4427.0,3614.0,477.0,146.0,,,,,,,,,,,,,,,,,,,F,1996.0,2004.0,225.0,California,44.0,27.0,19.0,8.0,81.0,N,2001.0,2001.0,1.0,21.0,9.0,5.0,1.0,6.0,0.0,0.0,0.0,0.0,2.0,4.0,4.0,0.0,1.0,1.0
5,ABERNTO01,Tom,Abernethy,N,319.0,5434.0,1779.0,374.0,637.0,1011.0,384.0,185.0,60.0,129.0,525.0,1472.0,724.0,443.0,331.0,2.0,0.0,N,13.0,226.0,68.0,0.0,0.0,42.0,23.0,0.0,0.0,0.0,18.0,54.0,22.0,29.0,24.0,0.0,0.0,F,1976.0,1980.0,220.0,Indiana,67.0,26.0,22.0,4.0,79.0,,,,,,,,,,,,,,,,,,,
6,ABLEFO01,Forest,Able,N,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,G,1956.0,1956.0,180.0,Western Kentucky,89.0,24.0,24.0,0.0,75.0,,,,,,,,,,,,,,,,,,,
7,ABRAMJO01,John,Abramovic,N,56.0,0.0,533.0,0.0,0.0,0.0,37.0,0.0,0.0,0.0,171.0,855.0,203.0,185.0,127.0,0.0,0.0,,,,,,,,,,,,,,,,,,,F,1946.0,1947.0,195.0,Salem,102.0,28.0,27.0,1.0,75.0,,,,,,,,,,,,,,,,,,,
8,ACKERDO01,Donald,Ackerman,N,28.0,220.0,43.0,0.0,0.0,15.0,23.0,0.0,0.0,0.0,43.0,63.0,14.0,28.0,15.0,0.0,0.0,,,,,,,,,,,,,,,,,,,G,1953.0,1953.0,183.0,LIU,91.0,23.0,23.0,0.0,72.0,,,,,,,,,,,,,,,,,,,
9,ACRESMA01,Mark,Acres,N,375.0,5982.0,1343.0,581.0,944.0,1525.0,180.0,137.0,104.0,235.0,932.0,1016.0,514.0,463.0,308.0,13.0,7.0,N,19.0,160.0,37.0,23.0,14.0,37.0,2.0,1.0,1.0,6.0,33.0,27.0,14.0,18.0,9.0,2.0,0.0,C,1987.0,1992.0,220.0,Oral Roberts,58.0,29.0,24.0,5.0,83.0,,,,,,,,,,,,,,,,,,,
10,ACTONCH01,Charles,Acton,N,23.0,195.0,77.0,0.0,0.0,47.0,11.0,0.0,0.0,0.0,35.0,74.0,29.0,29.0,19.0,0.0,0.0,,,,,,,,,,,,,,,,,,,F,1967.0,1967.0,210.0,Hillsdale (MI),79.0,25.0,25.0,0.0,78.0,,,,,,,,,,,,,,,,,,,
11,ADAMSAL01,Alvan,Adams,N,988.0,27203.0,13910.0,2015.0,4922.0,6937.0,4012.0,1289.0,808.0,2194.0,3214.0,11464.0,5709.0,3160.0,2490.0,15.0,2.0,N,78.0,2288.0,1076.0,209.0,82.0,588.0,320.0,64.0,51.0,109.0,251.0,930.0,440.0,256.0,196.0,0.0,0.0,C,1975.0,1987.0,210.0,Oklahoma,67.0,33.0,21.0,12.0,81.0,N,1975.0,1975.0,1.0,11.0,4.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0
12,ADAMSDO01,Don,Adams,N,523.0,13474.0,4598.0,364.0,1028.0,2916.0,1011.0,334.0,64.0,79.0,1709.0,4535.0,1823.0,1285.0,952.0,3.0,0.0,A,10.0,301.0,90.0,0.0,0.0,47.0,46.0,0.0,0.0,0.0,32.0,82.0,35.0,28.0,20.0,0.0,0.0,F,1970.0,1976.0,210.0,Northwestern,73.0,28.0,22.0,6.0,78.0,,,,,,,,,,,,,,,,,,,
13,ADAMSDO01,Don,Adams,N,523.0,13474.0,4598.0,364.0,1028.0,2916.0,1011.0,334.0,64.0,79.0,1709.0,4535.0,1823.0,1285.0,952.0,3.0,0.0,N,22.0,566.0,156.0,0.0,0.0,116.0,45.0,0.0,0.0,0.0,74.0,165.0,63.0,44.0,30.0,0.0,0.0,F,1970.0,1976.0,210.0,Northwestern,73.0,28.0,22.0,6.0,78.0,,,,,,,,,,,,,,,,,,,
14,ADAMSGE01,George,Adams,A,215.0,3903.0,1652.0,0.0,668.0,873.0,317.0,88.0,59.0,292.0,372.0,1440.0,716.0,272.0,216.0,17.0,4.0,A,9.0,184.0,80.0,0.0,0.0,34.0,15.0,0.0,0.0,0.0,14.0,66.0,34.0,16.0,12.0,0.0,0.0,F,1972.0,1974.0,210.0,Gardner-Webb,72.0,25.0,23.0,2.0,77.0,,,,,,,,,,,,,,,,,,,
15,ADAMSMI01,Michael,Adams,N,653.0,20446.0,9621.0,416.0,1484.0,1900.0,4209.0,1081.0,67.0,1402.0,1193.0,7849.0,3257.0,2543.0,2158.0,2857.0,949.0,N,20.0,679.0,256.0,53.0,14.0,67.0,103.0,32.0,2.0,44.0,41.0,230.0,85.0,60.0,51.0,107.0,35.0,G,1985.0,1995.0,162.0,Boston College,58.0,32.0,22.0,10.0,70.0,N,1991.0,1991.0,1.0,14.0,9.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,8.0,4.0,0.0,0.0,0.0
16,ADDISRA01,Rafael,Addison,N,379.0,5697.0,2186.0,262.0,515.0,777.0,339.0,148.0,83.0,284.0,671.0,2047.0,920.0,359.0,277.0,245.0,69.0,N,6.0,62.0,22.0,3.0,3.0,6.0,6.0,3.0,0.0,3.0,3.0,28.0,9.0,3.0,3.0,2.0,1.0,F,1986.0,1996.0,215.0,Syracuse,57.0,32.0,22.0,10.0,79.0,,,,,,,,,,,,,,,,,,,
17,ADELMRI01,Rick,Adelman,N,462.0,10427.0,3579.0,41.0,123.0,1129.0,1606.0,106.0,9.0,0.0,990.0,3330.0,1381.0,1146.0,817.0,0.0,0.0,N,21.0,329.0,121.0,0.0,0.0,27.0,39.0,0.0,0.0,0.0,32.0,96.0,43.0,56.0,35.0,0.0,0.0,G,1968.0,1974.0,175.0,Loyola (CA),75.0,28.0,22.0,6.0,73.0,,,,,,,,,,,,,,,,,,,
18,AGUIRMA01,Mark,Aguirre,N,923.0,27730.0,18458.0,1704.0,2874.0,4578.0,2871.0,687.0,296.0,2306.0,2599.0,14865.0,7201.0,4944.0,3664.0,1258.0,392.0,N,102.0,2958.0,1747.0,356.0,181.0,537.0,265.0,71.0,22.0,198.0,281.0,1435.0,696.0,417.0,310.0,142.0,45.0,F,1981.0,1993.0,232.0,DePaul,61.0,33.0,21.0,12.0,78.0,N,1983.0,1987.0,3.0,42.0,36.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,24.0,13.0,10.0,0.0,0.0
19,AINGEDA01,Danny,Ainge,N,1042.0,27755.0,11964.0,695.0,2073.0,2768.0,4199.0,1133.0,132.0,1566.0,2549.0,9905.0,4643.0,1980.0,1676.0,2651.0,1002.0,N,193.0,5038.0,1902.0,323.0,120.0,443.0,656.0,172.0,19.0,257.0,533.0,1571.0,717.0,357.0,296.0,432.0,172.0,G,1981.0,1994.0,175.0,Brigham Young,62.0,35.0,22.0,13.0,76.0,N,1987.0,1987.0,1.0,19.0,12.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,11.0,4.0,2.0,0.0,0.0
20,AITCHMA01,Matt,Aitch,A,45.0,637.0,252.0,0.0,0.0,160.0,18.0,0.0,0.0,37.0,69.0,247.0,100.0,77.0,52.0,2.0,0.0,A,2.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,F,1967.0,1967.0,230.0,Michigan State,77.0,23.0,23.0,0.0,79.0,,,,,,,,,,,,,,,,,,,
21,AKINHE01,Henry,Akin,A,2.0,25.0,4.0,0.0,0.0,4.0,1.0,0.0,0.0,4.0,0.0,4.0,1.0,3.0,2.0,2.0,0.0,N,2.0,16.0,3.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,3.0,7.0,1.0,2.0,1.0,0.0,0.0,C,1966.0,1968.0,225.0,Morehead State,77.0,24.0,22.0,2.0,82.0,,,,,,,,,,,,,,,,,,,
22,AKINHE01,Henry,Akin,N,86.0,712.0,304.0,0.0,0.0,177.0,39.0,0.0,0.0,0.0,130.0,367.0,129.0,68.0,46.0,0.0,0.0,N,2.0,16.0,3.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,3.0,7.0,1.0,2.0,1.0,0.0,0.0,C,1966.0,1968.0,225.0,Morehead State,77.0,24.0,22.0,2.0,82.0,,,,,,,,,,,,,,,,,,,
23,ALARIMA01,Mark,Alarie,N,325.0,5500.0,2432.0,438.0,682.0,1120.0,363.0,132.0,109.0,309.0,712.0,2184.0,1037.0,418.0,324.0,135.0,34.0,N,4.0,45.0,23.0,6.0,0.0,6.0,1.0,2.0,2.0,4.0,9.0,17.0,10.0,2.0,2.0,2.0,1.0,F,1986.0,1990.0,217.0,Duke,57.0,26.0,22.0,4.0,80.0,,,,,,,,,,,,,,,,,,,
24,ALCORGA01,Gary,Alcorn,N,78.0,844.0,261.0,0.0,0.0,329.0,24.0,0.0,0.0,0.0,170.0,352.0,103.0,92.0,55.0,0.0,0.0,,,,,,,,,,,,,,,,,,,C,1959.0,1960.0,225.0,Fresno State,85.0,24.0,23.0,1.0,81.0,,,,,,,,,,,,,,,,,,,
25,ALEKSCH01,Chuck,Aleksinas,N,74.0,1114.0,377.0,87.0,183.0,270.0,36.0,15.0,15.0,72.0,171.0,337.0,161.0,75.0,55.0,1.0,0.0,,,,,,,,,,,,,,,,,,,C,1984.0,1984.0,260.0,Connecticut,62.0,25.0,25.0,0.0,83.0,,,,,,,,,,,,,,,,,,,
26,ALEXACO01,Cory,Alexander,N,305.0,4842.0,1677.0,78.0,403.0,481.0,834.0,263.0,37.0,467.0,514.0,1508.0,587.0,352.0,266.0,669.0,237.0,N,9.0,70.0,26.0,5.0,4.0,9.0,9.0,2.0,0.0,6.0,8.0,24.0,10.0,7.0,5.0,5.0,1.0,G,1995.0,2004.0,185.0,Virginia,48.0,31.0,22.0,9.0,73.0,,,,,,,,,,,,,,,,,,,
27,ALEXACO02,Courtney,Alexander,N,187.0,4069.0,1690.0,89.0,320.0,409.0,227.0,111.0,18.0,203.0,377.0,1552.0,655.0,417.0,339.0,121.0,41.0,N,5.0,39.0,18.0,2.0,2.0,4.0,1.0,2.0,0.0,1.0,6.0,16.0,7.0,4.0,3.0,1.0,1.0,G,2000.0,2002.0,205.0,Fresno State,44.0,25.0,23.0,2.0,77.0,,,,,,,,,,,,,,,,,,,
28,ALEXAGA01,Gary,Alexander,N,11.0,55.0,19.0,7.0,8.0,15.0,2.0,3.0,0.0,8.0,10.0,14.0,8.0,9.0,3.0,0.0,0.0,,,,,,,,,,,,,,,,,,,F,1993.0,1993.0,240.0,South Florida,52.0,24.0,24.0,0.0,79.0,,,,,,,,,,,,,,,,,,,
29,ALEXAVI01,Victor,Alexander,N,286.0,5756.0,2542.0,439.0,945.0,1384.0,257.0,135.0,177.0,378.0,713.0,2126.0,1101.0,509.0,322.0,63.0,18.0,N,5.0,27.0,7.0,6.0,1.0,7.0,1.0,2.0,0.0,2.0,8.0,6.0,3.0,1.0,1.0,0.0,0.0,C,1991.0,2001.0,265.0,Iowa State,52.0,32.0,22.0,10.0,81.0,,,,,,,,,,,,,,,,,,,
30,ALFORST01,Steve,Alford,N,169.0,1641.0,744.0,25.0,119.0,144.0,176.0,85.0,10.0,89.0,113.0,634.0,291.0,146.0,127.0,108.0,35.0,N,13.0,106.0,54.0,5.0,4.0,9.0,15.0,3.0,0.0,5.0,11.0,48.0,20.0,9.0,8.0,17.0,6.0,G,1987.0,1990.0,183.0,Indiana,56.0,25.0,22.0,3.0,74.0,,,,,,,,,,,,,,,,,,,
31,ALLENBI01,Bill,Allen,A,38.0,857.0,300.0,0.0,0.0,269.0,23.0,0.0,0.0,38.0,121.0,280.0,120.0,99.0,58.0,2.0,2.0,,,,,,,,,,,,,,,,,,,C,1967.0,1967.0,205.0,New Mexico State,76.0,22.0,22.0,0.0,80.0,,,,,,,,,,,,,,,,,,,
32,ALLENBO01,Bob,Allen,N,27.0,232.0,48.0,0.0,0.0,56.0,10.0,0.0,0.0,0.0,27.0,43.0,14.0,36.0,20.0,0.0,0.0,N,3.0,19.0,4.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,7.0,4.0,0.0,0.0,F,1968.0,1968.0,205.0,Marshall,75.0,22.0,22.0,0.0,81.0,,,,,,,,,,,,,,,,,,,
33,ALLENJE01,Jerome,Allen,N,41.0,362.0,108.0,5.0,20.0,25.0,49.0,21.0,5.0,34.0,42.0,105.0,36.0,36.0,26.0,33.0,10.0,,,,,,,,,,,,,,,,,,,G,1995.0,1995.0,184.0,Pennsylvania,48.0,22.0,22.0,0.0,76.0,,,,,,,,,,,,,,,,,,,
34,ALLENLU01,Lucius,Allen,N,702.0,20159.0,9407.0,381.0,928.0,2205.0,3174.0,604.0,124.0,247.0,1799.0,8385.0,3884.0,2157.0,1639.0,0.0,0.0,N,43.0,1160.0,506.0,0.0,0.0,133.0,142.0,2.0,1.0,0.0,100.0,450.0,202.0,135.0,102.0,0.0,0.0,G,1969.0,1978.0,175.0,UCLA,74.0,31.0,22.0,9.0,74.0,,,,,,,,,,,,,,,,,,,
35,ALLENMA01,Malik,Allen,N,173.0,3614.0,1204.0,217.0,464.0,681.0,93.0,61.0,136.0,175.0,384.0,1216.0,524.0,192.0,156.0,5.0,0.0,N,10.0,138.0,50.0,18.0,12.0,30.0,4.0,2.0,9.0,4.0,21.0,49.0,22.0,9.0,6.0,0.0,0.0,F,2001.0,2004.0,225.0,Villanova,43.0,26.0,23.0,3.0,82.0,,,,,,,,,,,,,,,,,,,
36,ALLENRA01,Randy,Allen,N,70.0,789.0,252.0,52.0,93.0,145.0,23.0,17.0,20.0,30.0,109.0,258.0,114.0,45.0,24.0,8.0,0.0,,,,,,,,,,,,,,,,,,,F,1988.0,1989.0,220.0,Florida State,56.0,24.0,23.0,1.0,80.0,,,,,,,,,,,,,,,,,,,
37,ALLENRA02,Ray,Allen,N,657.0,24358.0,13545.0,728.0,2327.0,3055.0,2587.0,818.0,116.0,1604.0,1634.0,10639.0,4741.0,2914.0,2577.0,3742.0,1486.0,N,37.0,1510.0,920.0,127.0,49.0,176.0,177.0,49.0,15.0,97.0,85.0,683.0,325.0,184.0,163.0,246.0,107.0,G,1996.0,2004.0,205.0,Connecticut,46.0,29.0,21.0,8.0,77.0,N,1999.0,2003.0,4.0,84.0,60.0,5.0,5.0,10.0,13.0,8.0,2.0,8.0,7.0,58.0,23.0,10.0,27.0,6.0
38,ALLENTO01,Tony,Allen,N,77.0,1261.0,492.0,85.0,136.0,221.0,64.0,76.0,24.0,77.0,156.0,387.0,184.0,152.0,112.0,31.0,12.0,N,7.0,90.0,19.0,8.0,4.0,12.0,2.0,3.0,2.0,5.0,17.0,18.0,8.0,7.0,3.0,0.0,0.0,G,2004.0,2004.0,214.0,Oklahoma St.,39.0,22.0,22.0,0.0,76.0,,,,,,,,,,,,,,,,,,,
39,ALLENWI01,Willie,Allen,A,7.0,30.0,13.0,0.0,0.0,14.0,4.0,0.0,0.0,6.0,11.0,13.0,4.0,6.0,5.0,0.0,0.0,,,,,,,,,,,,,,,,,,,F,1971.0,1971.0,230.0,Miami (FL),72.0,22.0,22.0,0.0,78.0,,,,,,,,,,,,,,,,,,,
40,ALLISOD01,Odis,Allison,N,36.0,166.0,67.0,0.0,0.0,45.0,10.0,0.0,0.0,0.0,34.0,78.0,17.0,61.0,33.0,0.0,0.0,,,,,,,,,,,,,,,,,,,F,1971.0,1971.0,195.0,UNLV,72.0,22.0,22.0,0.0,78.0,,,,,,,,,,,,,,,,,,,
41,ALLUMDA01,Darrell,Allums,N,22.0,276.0,59.0,19.0,46.0,65.0,25.0,5.0,8.0,23.0,51.0,67.0,23.0,22.0,13.0,1.0,0.0,,,,,,,,,,,,,,,,,,,F,1980.0,1980.0,220.0,UCLA,63.0,22.0,22.0,0.0,80.5,,,,,,,,,,,,,,,,,,,
42,ALSTODE01,Derrick,Alston,N,139.0,2658.0,751.0,228.0,297.0,525.0,94.0,95.0,87.0,112.0,298.0,650.0,318.0,234.0,114.0,7.0,1.0,,,,,,,,,,,,,,,,,,,C,1994.0,1996.0,225.0,Duquesne,49.0,24.0,22.0,2.0,83.0,,,,,,,,,,,,,,,,,,,
43,ALSTORA01,Rafer,Alston,N,323.0,7527.0,2654.0,101.0,637.0,738.0,1359.0,327.0,42.0,473.0,642.0,2443.0,952.0,492.0,361.0,1068.0,389.0,N,22.0,319.0,91.0,25.0,4.0,29.0,24.0,6.0,1.0,13.0,22.0,95.0,29.0,27.0,21.0,53.0,12.0,G,1999.0,2004.0,171.0,Fresno State,45.0,28.0,23.0,5.0,74.0,,,,,,,,,,,,,,,,,,,
44,ALUMAPE01,Peter,Aluma,N,2.0,5.0,2.0,1.0,1.0,2.0,0.0,1.0,1.0,2.0,4.0,2.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,C,1998.0,1998.0,260.0,Liberty,48.0,25.0,25.0,0.0,82.0,,,,,,,,,,,,,,,,,,,
45,AMAECJO01,John,Amaechi,N,294.0,4814.0,1837.0,205.0,567.0,772.0,228.0,90.0,94.0,386.0,499.0,1646.0,663.0,760.0,510.0,13.0,1.0,N,7.0,47.0,13.0,3.0,1.0,4.0,3.0,3.0,2.0,0.0,6.0,13.0,4.0,8.0,5.0,0.0,0.0,C,1995.0,2002.0,270.0,Penn State,50.0,31.0,24.0,7.0,82.0,,,,,,,,,,,,,,,,,,,
46,AMAYAAS01,Ashraf,Amaya,N,85.0,1248.0,379.0,131.0,224.0,355.0,36.0,29.0,13.0,67.0,180.0,292.0,133.0,177.0,112.0,2.0,1.0,,,,,,,,,,,,,,,,,,,F,1995.0,1996.0,230.0,Southern Illinois,49.0,24.0,23.0,1.0,80.0,,,,,,,,,,,,,,,,,,,
47,ANDERAN01,Andy,Anderson,A,194.0,4786.0,2081.0,0.0,0.0,527.0,327.0,0.0,0.0,173.0,462.0,1958.0,803.0,616.0,465.0,63.0,10.0,A,28.0,551.0,224.0,0.0,0.0,60.0,16.0,0.0,0.0,0.0,21.0,215.0,85.0,66.0,54.0,0.0,0.0,G,1967.0,1969.0,184.0,Canisius,76.0,24.0,22.0,2.0,74.0,,,,,,,,,,,,,,,,,,,
48,ANDERBO01,Bob,Anderegg,N,33.0,373.0,133.0,0.0,0.0,69.0,29.0,0.0,0.0,0.0,32.0,143.0,55.0,42.0,23.0,0.0,0.0,,,,,,,,,,,,,,,,,,,F,1959.0,1959.0,200.0,Michigan State,84.0,22.0,22.0,0.0,75.0,,,,,,,,,,,,,,,,,,,
49,ANDERCA01,Cadillac,Anderson,N,680.0,14040.0,4953.0,1432.0,2814.0,4246.0,385.0,480.0,590.0,926.0,1741.0,4090.0,2011.0,1668.0,929.0,23.0,2.0,N,17.0,273.0,77.0,54.0,15.0,69.0,5.0,7.0,12.0,19.0,44.0,65.0,31.0,31.0,15.0,0.0,0.0,F,1987.0,1997.0,230.0,Houston,57.0,33.0,23.0,10.0,82.0,,,,,,,,,,,,,,,,,,,
50,ANDERCH01,Chris,Andersen,N,221.0,3628.0,1133.0,335.0,723.0,1058.0,145.0,85.0,302.0,185.0,388.0,920.0,420.0,465.0,293.0,9.0,0.0,N,5.0,34.0,6.0,8.0,6.0,14.0,2.0,1.0,2.0,2.0,3.0,9.0,3.0,0.0,0.0,0.0,0.0,F,2001.0,2004.0,230.0,Binn Coll TX JC,43.0,26.0,23.0,3.0,82.0,,,,,,,,,,,,,,,,,,,
51,ANDERCL01,Cliff,Anderson,A,3.0,22.0,6.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,3.0,4.0,2.0,6.0,2.0,0.0,0.0,N,3.0,10.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,5.0,2.0,0.0,0.0,0.0,0.0,G,1967.0,1970.0,200.0,St. Joseph's (PA),77.0,26.0,23.0,3.0,74.0,,,,,,,,,,,,,,,,,,,
52,ANDERCL01,Cliff,Anderson,N,81.0,581.0,247.0,0.0,0.0,103.0,68.0,0.0,0.0,0.0,105.0,202.0,71.0,177.0,105.0,0.0,0.0,N,3.0,10.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,5.0,2.0,0.0,0.0,0.0,0.0,G,1967.0,1970.0,200.0,St. Joseph's (PA),77.0,26.0,23.0,3.0,74.0,,,,,,,,,,,,,,,,,,,
53,ANDERDA01,Danw,Anderson,A,140.0,4025.0,1707.0,0.0,0.0,1316.0,158.0,0.0,0.0,212.0,503.0,1421.0,683.0,469.0,341.0,0.0,0.0,A,5.0,38.0,15.0,0.0,0.0,10.0,5.0,0.0,0.0,0.0,8.0,13.0,6.0,4.0,3.0,0.0,0.0,C,1967.0,1968.0,230.0,Augsburg (MN),78.0,25.0,24.0,1.0,82.0,,,,,,,,,,,,,,,,,,,
54,ANDERDA02,Daniel,Anderson,N,95.0,1067.0,347.0,23.0,68.0,91.0,166.0,36.0,3.0,0.0,102.0,286.0,135.0,91.0,77.0,0.0,0.0,,,,,,,,,,,,,,,,,,,G,1974.0,1975.0,185.0,USC,70.0,24.0,23.0,1.0,74.0,,,,,,,,,,,,,,,,,,,
55,ANDERDE01,Derek,Anderson,N,494.0,15344.0,6468.0,341.0,1339.0,1680.0,1805.0,604.0,73.0,917.0,968.0,5200.0,2138.0,1943.0,1660.0,1553.0,532.0,N,16.0,395.0,143.0,29.0,7.0,36.0,35.0,10.0,1.0,34.0,22.0,117.0,40.0,66.0,55.0,29.0,8.0,G,1997.0,2004.0,194.0,Kentucky,47.0,30.0,23.0,7.0,77.0,,,,,,,,,,,,,,,,,,,
56,ANDERDW01,Dwight,Anderson,N,5.0,33.0,21.0,0.0,2.0,2.0,3.0,1.0,0.0,5.0,7.0,14.0,7.0,10.0,7.0,0.0,0.0,,,,,,,,,,,,,,,,,,,G,1982.0,1982.0,185.0,USC,60.0,21.0,21.0,0.0,75.0,,,,,,,,,,,,,,,,,,,
57,ANDERER01,Eric,Anderson,N,27.0,83.0,42.0,12.0,19.0,31.0,5.0,3.0,2.0,7.0,23.0,35.0,12.0,27.0,16.0,2.0,2.0,N,2.0,6.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,F,1992.0,1993.0,220.0,Indiana,51.0,23.0,22.0,1.0,81.0,,,,,,,,,,,,,,,,,,,
58,ANDERJE01,Jerome,Anderson,N,49.0,290.0,127.0,13.0,12.0,25.0,16.0,9.0,5.0,0.0,51.0,104.0,51.0,36.0,25.0,0.0,0.0,N,4.0,5.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,G,1975.0,1976.0,195.0,West Virginia,68.0,23.0,22.0,1.0,77.0,,,,,,,,,,,,,,,,,,,
59,ANDERKE01,Kim,Anderson,N,21.0,224.0,63.0,17.0,28.0,45.0,15.0,4.0,5.0,22.0,42.0,77.0,24.0,28.0,15.0,0.0,0.0,,,,,,,,,,,,,,,,,,,F,1978.0,1978.0,200.0,Missouri,66.0,23.0,23.0,0.0,79.0,,,,,,,,,,,,,,,,,,,
60,ANDERKE02,Kenny,Anderson,N,858.0,25870.0,10789.0,623.0,2018.0,2641.0,5196.0,1259.0,112.0,1768.0,1974.0,9512.0,4002.0,2833.0,2238.0,1580.0,547.0,N,36.0,1004.0,346.0,67.0,18.0,85.0,135.0,42.0,1.0,58.0,89.0,325.0,132.0,93.0,74.0,29.0,8.0,G,1991.0,2004.0,168.0,Georgia Tech,51.0,34.0,21.0,13.0,72.0,N,1993.0,1993.0,1.0,16.0,6.0,0.0,0.0,4.0,3.0,0.0,0.0,0.0,0.0,10.0,3.0,0.0,0.0,0.0
61,ANDERMI01,Mitchell,Anderson,N,157.0,1970.0,751.0,186.0,253.0,439.0,110.0,107.0,39.0,131.0,251.0,658.0,306.0,249.0,139.0,9.0,0.0,,,,,,,,,,,,,,,,,,,F,1982.0,1984.0,195.0,Bradley,61.0,24.0,22.0,2.0,80.0,,,,,,,,,,,,,,,,,,,
62,ANDERMI02,Michael,Anderson,N,36.0,730.0,204.0,44.0,45.0,89.0,153.0,44.0,3.0,84.0,64.0,175.0,73.0,82.0,57.0,7.0,1.0,,,,,,,,,,,,,,,,,,,G,1988.0,1988.0,184.0,Drexel,55.0,22.0,22.0,0.0,71.0,,,,,,,,,,,,,,,,,,,
63,ANDERNI01,Nick,Anderson,N,800.0,24922.0,11529.0,1011.0,3053.0,4064.0,2087.0,1114.0,364.0,1358.0,1502.0,9891.0,4416.0,2461.0,1642.0,2964.0,1055.0,N,49.0,1766.0,644.0,185.0,53.0,238.0,110.0,72.0,29.0,76.0,108.0,549.0,227.0,149.0,101.0,267.0,89.0,G,1989.0,2001.0,205.0,Illinois,53.0,33.0,21.0,12.0,78.0,,,,,,,,,,,,,,,,,,,
